FID,WARD,CNT_WARD,TC_ID,Shape_Leng,OBJECTID,TC_ID_1,LandArea,Gain,Loss,No_Change,TreeCanopy,TreeCano_1,Change_Are,Change_Per,TreeCano_2,TreeCano_3,Change_P_1,Shape__Area,Shape__Length
1,1,14,1,119451.270026,1,1,130266158.062,2094949.70531,1189864.23326,7537190.11948,8727054.35274,9632139.82479,905085.472055,10.3710305387,6.69940257895,7.39419966632,0.694797087376,130515100.038818,119451.27002562
2,2,7,2,59906.5253453,2,2,36901981.6875,914981.043466,479744.695774,3432252.37454,3911997.07031,4347233.418,435236.347692,11.1256818415,10.6010487552,11.7804877115,1.17943895636,37159218.708252,59906.5253452029
3,3,8,3,54537.0843758,3,3,38734468.875,793842.303308,397202.173428,2814940.25145,3212142.42488,3608782.55476,396640.12988,12.3481489117,8.29272355649,9.31672141008,1.02399785359,38846423.2058105,54537.0843759241
4,4,10,4,34526.5345189,4,4,28761595.875,872611.268977,713682.458416,4686449.68054,5400132.13896,5559060.94952,158928.810561,2.94305410445,18.775495499,19.3280684899,0.552572990915,29005941.574707,34526.5345190778
5,5,12,5,42245.2353813,5,5,32060377.125,1067400.56059,729928.946679,6063937.46457,6793866.41125,7131338.02516,337471.613909,4.9672983465,21.190849954,22.2434626934,1.05261273938,32781732.7583008,42245.2353813312
6,9,5,6,25653.9294662,6,6,18742854.9375,678779.478151,745363.263872,3285667.1117,4031030.37557,3964446.58985,-66583.7857211,-1.65178079839,21.5070243515,21.1517754529,-0.355248898544,18742851.5087891,25653.9294661655
7,6,9,7,78275.4084084,7,7,59306072.0625,1014809.45047,775634.184314,3255128.60501,4030762.78932,4269938.05547,239175.266151,5.93374700155,6.79654316858,7.19983284506,0.403289676475,59645643.6157227,78275.4084085815
8,7,10,8,36862.8356373,8,8,35615054.25,880616.806791,766216.863369,3746731.50222,4512948.36559,4627348.30901,114399.943422,2.53492692924,12.6714628424,12.9926751663,0.321212323921,35757598.0690918,36862.8356372585
9,8,7,9,30517.0649897,9,9,30298987.125,719864.469134,466270.594015,2578142.71183,3044413.30584,3298007.18096,253593.875119,8.32981102246,10.0479045497,10.8848760104,0.836971460705,30299901.7973633,30517.0649895801
10,12,9,10,33929.152127,10,10,45992037.9375,1376908.83521,1496730.53686,17141751.9074,18638482.4443,18518660.7426,-119821.701657,-0.64287262665,40.5254545789,40.2649275246,-0.260527054313,46221587.152832,33929.1521269803
11,10,9,11,24521.3432567,11,11,24103481.0625,835808.404546,744622.243689,6259642.74787,7004264.99156,7095451.15242,91186.1608569,1.30186623388,29.0591428408,29.4374540093,0.378311168501,24184161.0854492,24521.343256753
12,11,10,12,36124.9507766,12,12,32841915.75,1239527.124,1418900.56744,8505544.99142,9924445.55886,9745072.11542,-179373.443444,-1.8073900691,30.2188387377,29.6726664473,-0.546172290342,32841947.7250977,36124.9507765262
13,13,10,13,46817.8488081,13,13,38128415.0625,1361327.65756,1295051.69018,6324709.26878,7619760.95896,7686036.92634,66275.9673855,0.869790637035,19.9844681361,20.1582911688,0.173823032709,38231359.3149414,46817.8488081219
14,14,14,14,39902.6350898,14,14,52769888.4375,1909518.45636,1938248.25569,12227438.3714,14165686.6271,14136956.8278,-28729.7993365,-0.202812613979,26.8442610863,26.7898175387,-0.0544435476124,52769934.3027344,39902.6350898142
15,15,9,15,22619.1987794,15,15,22040551.125,820470.788408,694941.542058,3582755.71877,4277697.26083,4403226.50718,125529.24635,2.93450514835,19.408304432,19.9778421248,0.569537692764,22040633.7963867,22619.1987794666
16,19,13,16,59784.7560631,16,16,84194200.6875,3353342.85753,3500690.61884,36885304.378,40385994.9968,40238647.2355,-147347.761305,-0.364848659334,47.9676683988,47.7926590038,-0.175009395067,87086618.9199219,59784.7560629967
17,22,13,17,51746.9094038,17,17,79169923.6875,2425574.33608,2517705.31359,15584740.3497,18102445.6633,18010314.6858,-92130.9775122,-0.508942157461,22.8653064449,22.7489352609,-0.116371183931,79651093.5057373,51746.9094039307
18,21,16,18,60656.9432668,18,18,46131749.4375,1224442.42062,1358150.83066,8925018.86062,10283169.6913,10149461.2812,-133708.410033,-1.30026454924,22.2908730249,22.0010327052,-0.289840319658,49901205.737915,60656.9432668834
19,16,12,19,50294.5629208,19,19,58761190.6875,1948953.11307,2015736.41948,10673119.6459,12688856.0654,12622072.759,-66783.30641,-0.5263146344,21.5939396682,21.4802876036,-0.113652064617,58817054.1843262,50294.562920664
20,17,14,20,48520.6922181,20,20,44586564.1875,1628287.41056,1780477.4625,10241986.3492,12022463.8117,11870273.7598,-152190.05194,-1.26588072398,26.9643199264,26.6229837981,-0.3413361283,44646847.9667969,48520.6922179707
21,18,23,21,86118.3715352,21,21,202723556.625,6316437.40535,7635058.78303,74183711.9064,81818770.6894,80500149.3117,-1318621.37768,-1.61163675104,40.3597746861,39.7093217246,-0.650452961477,204595986.179077,86118.3715353032
22,20,20,22,62793.7902208,22,22,167624389.125,5555310.29846,6505875.14703,61959592.3147,68465467.4617,67514902.6132,-950564.848573,-1.38838582984,40.8445738828,40.2774936067,-0.567080276047,168669890.973511,62793.7902207742
